rows=50
cols=40
(0, 0, 1)
(0, 2, 2)
(0, 5, 3)
(0, 8, 4)
(0, 12, 5)
(0, 15, 6)
(0, 18, 7)
(0, 22, 8)
(0, 25, 9)
(0, 1, 2)
(0, 3, 4)
(0, 6, 6)
(0, 9, 8)
(0, 13, 10)
(0, 16, 12)
(0, 19, 14)
(0, 23, 16)
(0, 26, 18)
(1, 1, 1)
(1, 3, 4)
(1, 6, 3)
(1, 9, 4)
(1, 13, 5)
(1, 16, 6)
(1, 19, 7)
(1, 23, 8)
(1, 26, 9)
(1, 5, 4)
(1, 8, 6)
(1, 11, 8)
(1, 15, 10)
(1, 18, 12)
(1, 21, 14)
(1, 25, 16)
(1, 28, 18)
(2, 2, 1)
(2, 4, 4)
(2, 7, 3)
(2, 10, 4)
(2, 14, 5)
(2, 17, 6)
(2, 20, 7)
(2, 24, 8)
(2, 27, 9)
(2, 6, 4)
(2, 9, 6)
(2, 12, 8)
(2, 16, 10)
(2, 19, 12)
(2, 22, 14)
(2, 26, 16)
(2, 29, 18)
(3, 3, 1)
(3, 5, 2)
(3, 8, 3)
(3, 11, 4)
(3, 15, 5)
(3, 18, 6)
(3, 21, 7)
(3, 25, 8)
(3, 28, 9)
(4, 4, 1)
(4, 6, 2)
(4, 9, 3)
(4, 12, 4)
(4, 16, 5)
(4, 19, 6)
(4, 22, 7)
(4, 26, 8)
(4, 29, 9)
